Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,091,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,14869,69368.486381,15240.818952,12797.444616
National,,National,092,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,18680,42460.176392,9121.8810493,7224.0928801
National,,National,093,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,5305,35826.417154,7411.4991517,5607.5773798
National,,National,094,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,1287,150347.20591,33906.021756,29395.22533
National,,National,095,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,1179,106378.9084,22500.728584,18867.045802
National,,National,096,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,318,98160.443396,21125.842767,16478.90566
National,,National,097,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,1786,161338.62654,38257.571669,32007.520157
National,,National,098,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,1217,92852.346754,21388.445357,17070.026294
National,,National,099,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,349,62885.931232,13793.441261,10621.283668
National,,National,100,SEIZURES WITH MCC,23005,79617.611171,17266.024516,14773.221256
National,,National,101,SEIZURES WITHOUT MCC,29396,40800.787012,8635.2839502,6593.9393795
National,,National,102,HEADACHES WITH MCC,1014,54017.861933,10891.79783,8664.1765286
National,,National,103,HEADACHES WITHOUT MCC,6209,40397.811725,8476.2443228,5622.0360767
National,,National,113,ORBITAL PROCEDURES WITH CC/MCC,407,111713.59459,23942.77887,20141.899263
National,,National,114,ORBITAL PROCEDURES WITHOUT CC/MCC,92,63310.934783,16265.978261,13548.978261
National,,National,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,643,75971.171073,16120.721617,12741.401244
National,,National,116,INTRAOCULAR PROCEDURES WITH CC/MCC,328,87152.661585,22208.79878,18112.789634
National,,National,117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC,110,48144.181818,12301.636364,9010.4181818
National,,National,121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,480,48748.275,13256.04375,9990.83125
National,,National,122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,160,27636.1375,8372.49375,5427.50625
National,,National,123,NEUROLOGICAL EYE DISORDERS,2862,42098.265898,7825.7173305,5534.6865828
National,,National,124,OTHER DISORDERS OF THE EYE WITH MCC,894,58930.977629,14011.532438,11778.806488
National,,National,125,OTHER DISORDERS OF THE EYE WITHOUT MCC,2640,38391.076894,8459.2708333,6341.4295455
National,,National,135,SINUS AND MASTOID PROCEDURES WITH CC/MCC,239,114241.05858,22166.573222,18264.794979
National,,National,136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,80,58063.0625,13043.6875,9259.025
National,,National,137,MOUTH PROCEDURES WITH CC/MCC,667,62380.110945,15517.205397,11850.653673
National,,National,138,MOUTH PROCEDURES WITHOUT CC/MCC,288,40777.878472,9294.0694444,6762.5625
National,,National,139,SALIVARY GLAND PROCEDURES,223,61821,13069.744395,9917.7085202
National,,National,140,MAJOR HEAD AND NECK PROCEDURES WITH MCC,619,189590.64459,44193.722132,36672.248788
National,,National,141,MAJOR HEAD AND NECK PROCEDURES WITH CC,2214,111299.76468,23973.002258,18940.063234
National,,National,142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,1152,84152.358507,16577.181424,13199.21875
National,,National,143,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC",715,145426.85175,31612.685315,26754.335664
National,,National,144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC",1288,87626.923913,18365.039596,14441.339286
National,,National,145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",858,59923.495338,12681.146853,9413.2540793
National,,National,146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",1046,83818.432122,20654.282983,17498.858509
National,,National,147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",664,53088.876506,12607.275602,10510.451807
National,,National,148,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC",155,42482.16129,9518.0709677,6484.9870968
National,,National,149,DYSEQUILIBRIUM,12519,36839.586548,6766.7620417,4986.156562
National,,National,150,EPISTAXIS WITH MCC,910,51474.801099,11883.047253,9991.8769231
National,,National,151,EPISTAXIS WITHOUT MCC,1558,29582.28819,6834.4595635,5200.5937099
National,,National,152,OTITIS MEDIA AND URI WITH MCC,1065,50081.041315,10749.769953,8242.3380282
National,,National,153,OTITIS MEDIA AND URI WITHOUT MCC,2472,30708.124595,7012.9101942,4840.467233
National,,National,154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",1855,63637.477089,14380.203235,12401.228032
National,,National,155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",2884,39948.06276,8695.695215,6686.3848821
National,,National,156,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",806,30722.559553,6565.4032258,4647.6401985
National,,National,157,DENTAL AND ORAL DISEASES WITH MCC,1459,71578.149417,16952.061001,13746.973269
National,,National,158,DENTAL AND ORAL DISEASES WITH CC,2266,40313.806267,8864.0105914,6575.3949691
National,,National,159,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,608,31895.625,7225.5690789,4960.7631579
National,,National,163,MAJOR CHEST PROCEDURES WITH MCC,10757,191263.03951,43702.137213,37887.869016
National,,National,164,MAJOR CHEST PROCEDURES WITH CC,14237,110222.80719,23637.377116,19500.612208
National,,National,165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,6849,86135.693094,17472.262082,13921.489561
National,,National,166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,9389,152818.90862,34643.486846,29729.095005
National,,National,167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,4974,83746.884399,16746.274025,13512.945718
National,,National,168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1661,63715.606863,12640.828417,9671.6056592
National,,National,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,30665,56076.083418,13278.034861,11035.105527
National,,National,176,PULMONARY EMBOLISM WITHOUT MCC,20555,35366.966675,8053.4218925,6076.2596935
National,,National,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,363696,65905.412089,18653.717162,15945.650241
National,,National,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,33625,38317.133353,11191.753576,9271.5592862
National,,National,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,6856,29367.404317,8671.4291132,6809.3054259
National,,National,180,RESPIRATORY NEOPLASMS WITH MCC,16177,71555.117574,15668.628918,13221.826667
National,,National,181,RESPIRATORY NEOPLASMS WITH CC,6442,49538.018783,10362.748681,8282.8076684
National,,National,182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC,327,43057.608563,7085.7003058,5326.9510703
National,,National,183,MAJOR CHEST TRAUMA WITH MCC,4432,63658.268953,14361.570397,11748.156814
National,,National,184,MAJOR CHEST TRAUMA WITH CC,9182,46227.401002,10062.949357,7495.3757351
National,,National,185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,2150,35116.295814,7575.4274419,5294.7516279
National,,National,186,PLEURAL EFFUSION WITH MCC,8054,58673.122175,13031.665135,11037.350633
National,,National,187,PLEURAL EFFUSION WITH CC,4517,42611.399159,9020.6825327,7326.3048484
National,,National,188,PLEURAL EFFUSION WITHOUT CC/MCC,725,31745.496552,6680.9558621,4878.88
National,,National,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,84442,48246.096492,11119.691481,9235.1533952
National,,National,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,62164,42336.270977,9781.8918023,8014.004842
National,,National,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,24960,34183.086338,7819.6544872,6203.4760817
National,,National,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,6929,25750.18603,6305.4613941,4620.4055419
National,,National,193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,88139,50125.678428,10875.777034,9042.2218541
National,,National,194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,39626,33435.516227,7541.1643365,5806.7805229
National,,National,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,7565,25889.253536,5929.7684071,4263.6002644
National,,National,196,INTERSTITIAL LUNG DISEASE WITH MCC,8919,66620.811638,15873.620137,13288.820159
National,,National,197,INTERSTITIAL LUNG DISEASE WITH CC,2022,40953.272997,9553.7556874,7301.7858556
National,,National,198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,411,32123.912409,7406.3211679,5132.6909976
National,,National,199,PNEUMOTHORAX WITH MCC,6775,69317.906273,15933.79321,13379.486642
National,,National,200,PNEUMOTHORAX WITH CC,9136,44066.296848,9943.2050131,7550.7621497
National,,National,201,PNEUMOTHORAX WITHOUT CC/MCC,1286,28858.836703,6513.4105754,4558.5995334
National,,National,202,BRONCHITIS AND ASTHMA WITH CC/MCC,13804,37839.346132,8825.3853231,6847.9131411
National,,National,203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,2318,27721.390854,6928.7769629,5027.9365833
National,,National,204,RESPIRATORY SIGNS AND SYMPTOMS,5433,37430.70035,7684.4032763,5891.2554758
National,,National,205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,9124,73166.482135,17063.329022,13708.233231
National,,National,206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,6779,40607.903968,8705.7241481,6624.6652899
National,,National,207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,32736,279638.51002,61971.937072,54481.407075
National,,National,208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,46371,111565.90015,24342.130362,21253.779215
National,,National,215,OTHER HEART ASSIST SYSTEM IMPLANT,6170,368235.99417,90775.801621,82664.511831
National,,National,216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,4938,441249.11037,96978.475091,86006.228028
National,,National,217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,1449,272258.81435,57043.769496,49216.680469
National,,National,218,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,147,221585.89796,46442.646259,41145.489796
National,,National,219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,13036,348219.94952,77512.904112,67382.763808
National,,National,220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,10895,232941.49022,49233.051033,41072.485544
National,,National,221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,1512,185205.40542,38940.546958,33086.736111
National,,National,222,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MC",1549,344722.1601,74717.076178,64526.172369
National,,National,223,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITHOUT",333,242485.41742,53084.285285,45180.567568
National,,National,224,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",2089,299832.35567,65865.123025,57127.601245
National,,National,225,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",1352,216522.9497,47625.039201,40097.498521
National,,National,226,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC,3965,257689.64061,56716.213871,50896.688525
National,,National,227,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,3193,202530.68556,44312.636079,38886.044159
National,,National,228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,5086,237336.74597,53874.964609,48163.355682
National,,National,229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,6016,153189.82829,32475.081948,28601.195977
National,,National,231,CORONARY BYPASS WITH PTCA WITH MCC,774,369904.06589,74807.700258,63312.063307
National,,National,232,CORONARY BYPASS WITH PTCA WITHOUT MCC,484,264257.47521,49948.770661,41891.448347
National,,National,233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITH MCC,9879,318848.49135,64047.909505,55299.312785
National,,National,234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITHOUT MCC,10114,219805.26063,43537.691517,35468.497825
National,,National,235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,10483,247575.27568,51920.81885,44089.590575
National,,National,236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,15810,172394.38001,34253.950474,27947.239848
National,,National,239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,8325,167237.60673,39950.724084,35380.07988
National,,National,240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,6322,102093.72335,22936.233312,19790.527207
National,,National,241,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC,404,56697.611386,13009.420792,10703.628713
National,,National,242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,15976,140080.07298,30047.058963,27202.713195
National,,National,243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,19840,97797.458216,20475.318498,17863.783115
National,,National,244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,10392,80068.289935,16752.11403,14041.576309
National,,National,245,AICD GENERATOR PROCEDURES,931,198300.30827,44859.71536,40892.474758
National,,National,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,43462,144496.04606,26761.557821,22964.246445
National,,National,247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,64550,100160.33176,16967.065174,13223.3255
National,,National,248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERI,761,140771.78975,25599.172142,22958.240473
National,,National,249,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC,887,91224.527621,15463.626832,12292.078918
National,,National,250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC,3764,117043.67481,21227.401435,18347.889745
National,,National,251,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC,3680,83473.995652,14177.261957,11254.027446
National,,National,252,OTHER VASCULAR PROCEDURES WITH MCC,24566,140431.49862,30345.265367,27148.399536
National,,National,253,OTHER VASCULAR PROCEDURES WITH CC,18962,113561.56497,23169.730303,19763.898745
National,,National,254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,7397,77248.064486,15356.450047,12367.260241
National,,National,255,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC,1745,98327.004011,22283.91404,18933.942693
National,,National,256,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC,1387,62212.258832,14113.888969,11652.075703
National,,National,257,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC,84,40266.071429,11195.630952,9316.0952381
National,,National,258,CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC,597,110875.34171,26042.59799,23889.222781
National,,National,259,CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC,791,85626.962073,17705.436157,15341.116308
National,,National,260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC,2620,146878.64885,32632.449237,28446.351908
